+
1 15
1 2 0
1 5 1
1 2 2
1 5 3
1 6 4
1 1 5
1 2 6
1 14 7
1 7 8
1 5 9
1 15 10
1 7 11
1 8 12
1 14 13
1 3 14
1 8 15
1 3 16
1 15 17
1 5 18
1 1 19
1 5 20
1 9 21
1 9 22
1 13 23
1 10 24
1 3 25
1 2 26
1 1 27
1 9 28
1 12 29
1 10 30
1 10 31
1 12 32
1 5 33
1 3 34
1 5 35
1 7 36
1 1 37
1 10 38
1 12 39
1 15 40
1 10 41
1 12 42
1 10 43
1 6 44
1 11 45
1 14 46
1 13 47
+
20 8
17 7 0
16 7 1
7 7 2
+
12 5
10 3 0
11 5 1
11 2 2
5 3 3
1 2 4
10 5 5
4 2 6
12 4 7
12 3 8
5 1 9
5 2 10
6 5 11
6 2 12
12 1 13
9 5 14
4 5 15
12 1 16
12 4 17
2 4 18
12 4 19
9 1 20
7 5 21
4 1 22
9 1 23
12 4 24
11 2 25
7 3 26
5 2 27
11 3 28
5 5 29
6 3 30
9 1 31
10 4 32
6 4 33
11 1 34
12 3 35
4 2 36
12 5 37
9 1 38
10 2 39
7 5 40
5 5 41
5 3 42
11 1 43
10 2 44
4 3 45
2 4 46
8 3 47
2 2 48
2 2 49
12 1 50
7 4 51
8 3 52
12 2 53
4 5 54
12 2 55
9 1 56
10 2 57
2 3 58
11 1 59
1 4 60
1 1 61
9 1 62
2 5 63
1 5 64
2 5 65
3 3 66
4 3 67
12 3 68
12 5 69
12 3 70
4 4 71
11 2 72
5 1 73
12 5 74
10 4 75
9 3 76
8 4 77
3 2 78
5 1 79
4 5 80
11 3 81
2 2 82
8 5 83
8 3 84
11 1 85
9 1 86
+
13 16
1 9 0
12 14 1
8 2 2
4 1 3
10 13 4
2 3 5
9 14 6
2 2 7
3 15 8
4 12 9
7 14 10
8 8 11
6 10 12
9 4 13
6 16 14
2 15 15
6 6 16
2 10 17
1 15 18
3 8 19
13 14 20
11 13 21
12 1 22
4 13 23
4 11 24
7 7 25
2 15 26
5 4 27
4 7 28
6 5 29
2 3 30
12 2 31
4 15 32
12 15 33
5 6 34
13 13 35
4 10 36
5 15 37
10 14 38
8 15 39
13 10 40
10 12 41
4 8 42
2 1 43
8 7 44
1 11 45
3 16 46
2 16 47
8 8 48
1 12 49
7 1 50
3 3 51
4 6 52
5 15 53
6 16 54
3 5 55
7 2 56
3 9 57
3 8 58
13 13 59
10 5 60
11 9 61
2 10 62
1 3 63
1 14 64
13 5 65
+
7 18
1 8 0
2 4 1
6 12 2
6 18 3
6 18 4
2 3 5
5 18 6
2 16 7
7 3 8
7 6 9
3 14 10
4 18 11
4 8 12
2 14 13
7 18 14
1 12 15
6 12 16
4 18 17
2 10 18
5 6 19
6 9 20
3 7 21
7 13 22
1 9 23
3 18 24
6 9 25
5 5 26
1 7 27
4 11 28
3 9 29
5 1 30
3 11 31
1 16 32
3 10 33
5 15 34
6 16 35
5 4 36
1 2 37
5 5 38
4 7 39
2 4 40
6 3 41
3 16 42
4 4 43
3 6 44
4 14 45
4 18 46
1 9 47
4 15 48
7 12 49
+
14 1
5 1 0
5 1 1
13 1 2
11 1 3
8 1 4
12 1 5
14 1 6
5 1 7
3 1 8
6 1 9
12 1 10
9 1 11
7 1 12
3 1 13
4 1 14
8 1 15
2 1 16
11 1 17
2 1 18
13 1 19
3 1 20
7 1 21
4 1 22
3 1 23
4 1 24
14 1 25
6 1 26
3 1 27
14 1 28
4 1 29
10 1 30
4 1 31
11 1 32
4 1 33
4 1 34
14 1 35
14 1 36
7 1 37
13 1 38
7 1 39
14 1 40
4 1 41
13 1 42
13 1 43
1 1 44
9 1 45
14 1 46
2 1 47
11 1 48
6 1 49
12 1 50
5 1 51
12 1 52
8 1 53
9 1 54
8 1 55
2 1 56
5 1 57
12 1 58
1 1 59
+
20 17
20 4 0
1 1 1
4 5 2
6 5 3
5 13 4
1 4 5
18 16 6
10 5 7
8 7 8
3 5 9
2 14 10
18 14 11
6 7 12
18 9 13
19 15 14
7 15 15
13 6 16
20 3 17
13 2 18
11 7 19
16 3 20
19 7 21
19 11 22
12 4 23
8 17 24
10 2 25
19 17 26
8 12 27
6 8 28
19 13 29
6 5 30
8 3 31
12 16 32
9 3 33
10 12 34
1 7 35
1 14 36
10 14 37
4 7 38
11 12 39
7 11 40
8 4 41
11 8 42
20 17 43
14 2 44
2 5 45
5 13 46
7 13 47
14 9 48
1 14 49
+
5 1
3 1 0
5 1 1
3 1 2
+
17 12
10 11 0
12 10 1
+
12 6
1 5 0
12 3 1
1 3 2
6 2 3
4 4 4
2 5 5
6 2 6
2 3 7
8 1 8
9 2 9
1 1 10
3 3 11
6 4 12
11 3 13
3 2 14
5 5 15
4 1 16
6 5 17
12 2 18
12 1 19
+
5 6
1 6 0
3 1 1
1 6 2
1 3 3
2 3 4
1 3 5
4 5 6
2 2 7
1 4 8
3 3 9
4 2 10
3 4 11
5 2 12
4 5 13
4 3 14
3 2 15
1 2 16
4 4 17
4 2 18
5 3 19
3 5 20
2 4 21
2 4 22
3 4 23
+
9 5
1 1 0
9 1 1
9 3 2
7 5 3
7 5 4
4 5 5
8 5 6
8 1 7
5 4 8
2 3 9
7 5 10
7 4 11
5 1 12
1 2 13
3 2 14
8 1 15
7 3 16
2 3 17
2 5 18
6 1 19
9 3 20
7 1 21
5 5 22
5 1 23
3 3 24
4 3 25
6 3 26
2 4 27
8 2 28
6 5 29
2 1 30
6 1 31
5 1 32
6 1 33
2 4 34
4 2 35
+
13 15
5 10 0
13 13 1
5 1 2
5 1 3
12 11 4
6 8 5
1 14 6
1 10 7
12 15 8
7 12 9
3 12 10
12 2 11
6 9 12
11 5 13
10 3 14
6 2 15
9 10 16
11 3 17
1 3 18
5 7 19
8 15 20
1 15 21
6 6 22
7 3 23
10 13 24
11 11 25
7 3 26
3 12 27
13 9 28
8 8 29
3 14 30
13 14 31
1 1 32
9 5 33
5 8 34
4 14 35
2 2 36
10 7 37
3 14 38
4 3 39
2 3 40
9 5 41
6 1 42
2 7 43
3 12 44
2 6 45
1 1 46
8 12 47
13 5 48
9 14 49
1 2 50
13 7 51
+
11 3
6 2 0
8 2 1
9 3 2
6 3 3
10 1 4
2 3 5
1 1 6
1 2 7
11 2 8
3 1 9
2 3 10
6 3 11
10 2 12
10 2 13
1 1 14
1 2 15
9 3 16
10 2 17
6 2 18
6 2 19
10 1 20
7 2 21
2 1 22
1 3 23
6 2 24
9 1 25
4 1 26
7 3 27
1 1 28
2 2 29
10 2 30
6 2 31
10 2 32
11 1 33
8 2 34
8 3 35
7 3 36
11 2 37
7 1 38
8 3 39
9 3 40
4 2 41
5 3 42
4 3 43
7 1 44
4 3 45
+
17 17
17 16 0
15 7 1
10 4 2
13 8 3
7 9 4
1 17 5
14 4 6
3 2 7
10 10 8
8 17 9
4 4 10
4 10 11
1 5 12
15 5 13
6 11 14
2 7 15
1 12 16
9 6 17
7 2 18
4 1 19
8 12 20
+
3 7
3 4 0
3 7 1
1 5 2
1 6 3
2 1 4
+
15 14
14 10 0
6 1 1
1 3 2
12 2 3
1 7 4
13 4 5
4 7 6
11 2 7
15 3 8
15 7 9
15 1 10
2 12 11
1 9 12
11 1 13
8 9 14
11 11 15
12 3 16
7 2 17
5 6 18
4 5 19
13 13 20
12 12 21
11 8 22
9 4 23
10 12 24
13 2 25
14 8 26
11 12 27
1 10 28
2 2 29
13 10 30
6 14 31
12 10 32
4 3 33
4 13 34
2 6 35
14 9 36
6 2 37
6 7 38
15 14 39
2 10 40
15 9 41
15 14 42
14 5 43
13 8 44
10 7 45
9 13 46
4 14 47
4 7 48
5 9 49
1 11 50
13 13 51
10 5 52
2 11 53
13 9 54
2 8 55
4 13 56
2 2 57
10 4 58
7 14 59
1 11 60
8 3 61
1 1 62
2 4 63
15 9 64
6 14 65
12 5 66
2 1 67
5 2 68
15 13 69
7 8 70
6 9 71
12 9 72
+
8 20
1 15 0
3 20 1
8 5 2
5 3 3
1 12 4
3 19 5
1 17 6
8 16 7
1 18 8
5 8 9
8 7 10
2 1 11
4 3 12
3 18 13
8 18 14
6 4 15
7 5 16
6 19 17
7 11 18
8 16 19
5 13 20
4 3 21
6 2 22
4 12 23
4 4 24
6 17 25
+
3 11
2 4 0
2 10 1
1 5 2
2 11 3
2 4 4
3 7 5
1 4 6
1 1 7
2 2 8
2 5 9
2 10 10
3 5 11
2 11 12
3 9 13
1 3 14
1 11 15
3 9 16
3 2 17
3 5 18
2 9 19
1 8 20
2 3 21
2 10 22
1 8 23
1 2 24
1 10 25
2 11 26
2 7 27
1 5 28
1 3 29
3 8 30
3 5 31
1 3 32
3 1 33
1 10 34
2 6 35
1 6 36
1 9 37
2 11 38
1 11 39
3 10 40
2 3 41
2 5 42
2 8 43
2 9 44
3 10 45
3 10 46
1 11 47
1 1 48
2 8 49
2 10 50
1 1 51
3 6 52
1 8 53
2 2 54
1 1 55
1 10 56
3 9 57
1 10 58
1 2 59
2 4 60
3 7 61
1 5 62
3 11 63
3 7 64
3 3 65
2 5 66
3 4 67
3 7 68
1 1 69
3 6 70
1 10 71
1 9 72
1 5 73
3 2 74
2 5 75
1 3 76
1 7 77
2 11 78
1 11 79
2 1 80
2 3 81
3 1 82
1 9 83
2 7 84
2 2 85
1 10 86
1 11 87
3 7 88
3 3 89
+
14 17
2 14 0
12 11 1
13 16 2
6 1 3
6 13 4
13 5 5
10 1 6
11 10 7
12 3 8
5 16 9
13 16 10
10 11 11
1 3 12
4 3 13
5 13 14
4 6 15
11 1 16
1 6 17
1 13 18
3 9 19
10 14 20
1 12 21
9 9 22
13 9 23
13 6 24
5 3 25
11 7 26
10 16 27
5 15 28
1 6 29
2 12 30
7 5 31
3 8 32
6 10 33
13 6 34
7 3 35
4 8 36
2 17 37
12 5 38
14 16 39
7 12 40
9 9 41
7 5 42
11 1 43
5 7 44
10 15 45
12 14 46
14 5 47
6 4 48
14 9 49
9 13 50
6 17 51
14 5 52
11 6 53
8 10 54
13 10 55
8 12 56
8 17 57
10 8 58
13 5 59
8 7 60
9 6 61
12 8 62
6 13 63
7 11 64
1 9 65
+
10 12
3 12 0
8 11 1
5 12 2
10 10 3
5 9 4
2 11 5
10 7 6
5 5 7
2 8 8
7 6 9
10 1 10
7 11 11
9 7 12
4 7 13
4 6 14
2 9 15
8 2 16
9 8 17
9 11 18
10 11 19
3 4 20
9 1 21
10 3 22
4 3 23
5 8 24
6 8 25
6 10 26
1 2 27
2 10 28
4 10 29
1 11 30
9 7 31
2 1 32
3 12 33
10 6 34
3 3 35
5 8 36
7 11 37
6 12 38
4 4 39
6 2 40
10 9 41
8 2 42
1 5 43
9 1 44
5 8 45
4 12 46
9 6 47
7 3 48
4 3 49
7 4 50
3 8 51
7 2 52
5 4 53
4 10 54
5 10 55
8 1 56
7 10 57
9 7 58
7 4 59
3 8 60
1 4 61
4 2 62
7 1 63
2 5 64
9 9 65
6 5 66
5 12 67
7 7 68
+
10 16
3 13 0
8 4 1
5 7 2
1 5 3
6 15 4
9 9 5
8 5 6
3 9 7
6 8 8
3 1 9
7 11 10
2 2 11
8 2 12
8 15 13
7 9 14
4 14 15
9 13 16
5 16 17
6 14 18
4 15 19
5 5 20
4 7 21
3 14 22
7 10 23
3 15 24
6 10 25
9 16 26
7 12 27
10 11 28
1 11 29
3 11 30
3 3 31
6 13 32
8 14 33
8 11 34
10 5 35
2 4 36
7 10 37
4 8 38
9 9 39
2 11 40
6 11 41
7 9 42
2 13 43
6 2 44
9 14 45
4 7 46
10 1 47
4 7 48
+
4 13
1 5 0
2 11 1
3 12 2
1 7 3
3 2 4
2 12 5
2 2 6
3 12 7
1 3 8
3 3 9
1 4 10
3 3 11
4 3 12
4 11 13
3 4 14
1 5 15
1 6 16
4 2 17
3 8 18
+
7 9
5 6 0
5 2 1
6 4 2
3 3 3
4 5 4
7 5 5
6 9 6
7 5 7
3 1 8
3 5 9
1 9 10
4 9 11
6 9 12
5 5 13
1 9 14
2 7 15
3 8 16
2 7 17
1 8 18
1 6 19
2 7 20
2 4 21
3 2 22
5 8 23
2 4 24
1 3 25
2 6 26
7 1 27
3 2 28
3 2 29
1 9 30
4 1 31
7 2 32
5 6 33
2 1 34
7 5 35
3 2 36
4 4 37
3 8 38
6 8 39
5 3 40
1 8 41
7 3 42
1 9 43
5 4 44
1 7 45
+
18 11
1 6 0
18 10 1
13 6 2
14 8 3
18 8 4
14 6 5
4 4 6
17 11 7
17 2 8
14 10 9
2 3 10
12 4 11
14 4 12
11 7 13
14 10 14
2 4 15
12 7 16
14 4 17
10 5 18
6 2 19
15 10 20
17 5 21
10 10 22
17 7 23
10 6 24
10 2 25
4 7 26
16 3 27
13 9 28
1 7 29
13 7 30
9 1 31
10 9 32
13 4 33
2 3 34
18 6 35
9 2 36
15 3 37
7 2 38
1 3 39
14 2 40
1 10 41
14 6 42
1 11 43
9 4 44
11 3 45
12 7 46
5 7 47
14 11 48
18 8 49
15 5 50
11 2 51
7 2 52
14 10 53
16 10 54
7 4 55
5 3 56
15 10 57
16 5 58
7 10 59
18 3 60
11 11 61
14 7 62
7 9 63
15 9 64
4 9 65
10 9 66
5 3 67
3 3 68
9 8 69
16 3 70
5 2 71
3 8 72
6 1 73
5 1 74
13 7 75
8 7 76
5 5 77
12 10 78
8 7 79
3 8 80
2 9 81
18 5 82
+
17 11
6 6 0
5 3 1
12 7 2
12 4 3
1 9 4
1 6 5
8 11 6
16 5 7
16 10 8
9 4 9
3 9 10
3 6 11
2 7 12
16 4 13
14 8 14
12 2 15
10 1 16
5 5 17
4 11 18
15 9 19
1 6 20
2 5 21
10 2 22
16 4 23
4 7 24
11 9 25
6 11 26
6 5 27
12 8 28
2 4 29
14 6 30
7 4 31
3 9 32
13 3 33
5 10 34
2 6 35
17 2 36
8 10 37
9 10 38
6 9 39
16 1 40
17 3 41
2 5 42
7 8 43
17 11 44
11 9 45
13 2 46
13 4 47
15 11 48
6 9 49
+
13 7
8 4 0
6 1 1
7 1 2
2 3 3
1 1 4
6 3 5
+
5 1
3 1 0
2 1 1
5 1 2
1 1 3
2 1 4
1 1 5
3 1 6
4 1 7
2 1 8
5 1 9
4 1 10
1 1 11
2 1 12
3 1 13
5 1 14
5 1 15
4 1 16
1 1 17
4 1 18
1 1 19
2 1 20
3 1 21
4 1 22
1 1 23
5 1 24
2 1 25
1 1 26
1 1 27
3 1 28
5 1 29
4 1 30
2 1 31
1 1 32
5 1 33
2 1 34
3 1 35
4 1 36
5 1 37
4 1 38
5 1 39
1 1 40
1 1 41
3 1 42
4 1 43
1 1 44
4 1 45
5 1 46
1 1 47
5 1 48
3 1 49
4 1 50
1 1 51
